Year,State,District,Water Level
2021-22,Arunachal Pradesh,Siang,0 to 2 Post Monsoon (in mbgl)
2019-20,Rajasthan,Bikaner,>40 Post Monsoon (in mbgl)
2020-21,Maharashtra,Nagpur,0 to 2 Post Monsoon (in mbgl)
2020-21,Bihar,Katihar,2 to 5 Post Monsoon (in mbgl)
2019-20,West Bengal,North 24 Parganas,2 to 5 Post Monsoon (in mbgl)
2020-21,Karnataka,Hassan,2 to 5 Post Monsoon (in mbgl)
2019-20,Punjab,Kapurthala,20 to 40 Post Monsoon (in mbgl)
2021-22,Bihar,Vaishali,2 to 5 Post Monsoon (in mbgl)
2021-22,Delhi,South Delhi,20 to 40 Post Monsoon (in mbgl)
2021-22,Jammu and Kashmir,Anantnag,10 to 20 Post Monsoon (in mbgl)
2019-20,Madhya Pradesh,Alirajpur,5 to 10 Post Monsoon (in mbgl)
2021-22,Gujarat,Surendranagar,2 to 5 Post Monsoon (in mbgl)
2020-21,Chhattisgarh,Mungeli,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Hailakandi,0 to 2 Post Monsoon (in mbgl)
2021-22,Gujarat,Banaskantha,10 to 20 Post Monsoon (in mbgl)
2019-20,Assam,Dhubri,2 to 5 Post Monsoon (in mbgl)
2020-21,Madhya Pradesh,Agar Malwa,5 to 10 Post Monsoon (in mbgl)
2021-22,Meghalaya,West Garo Hills,2 to 5 Post Monsoon (in mbgl)
2021-22,Maharashtra,Pune,2 to 5 Post Monsoon (in mbgl)
2019-20,Jharkhand,Gumla,5 to 10 Post Monsoon (in mbgl)
2019-20,Himachal Pradesh,Solan,10 to 20 Post Monsoon (in mbgl)
2019-20,Rajasthan,Jhalawar,5 to 10 Post Monsoon (in mbgl)
2020-21,Assam,Kamrup (Metro),0 to 2 Post Monsoon (in mbgl)
2020-21,Telangana,Warangal Urban,0 to 2 Post Monsoon (in mbgl)
2020-21,Assam,Nagaon,0 to 2 Post Monsoon (in mbgl)
2020-21,Andhra Pradesh,Srikakulam,2 to 5 Post Monsoon (in mbgl)
2020-21,Assam,Lakhimpur,0 to 2 Post Monsoon (in mbgl)
2021-22,Haryana,Kaithal,20 to 40 Post Monsoon (in mbgl)
2020-21,Puducherry,Puducherry,5 to 10 Post Monsoon (in mbgl)
2021-22,Jammu and Kashmir,Budgam,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Supaul,2 to 5 Post Monsoon (in mbgl)
2020-21,Tamil Nadu,Tiruppur,2 to 5 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Rampur,2 to 5 Post Monsoon (in mbgl)
2019-20,Odisha,Kandhamal,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Munger,2 to 5 Post Monsoon (in mbgl)
2020-21,Assam,Sonitpur,0 to 2 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Kushinagar,2 to 5 Post Monsoon (in mbgl)
2019-20,Tamil Nadu,Theni,2 to 5 Post Monsoon (in mbgl)
2019-20,Madhya Pradesh,Chhindwara,5 to 10 Post Monsoon (in mbgl)
2020-21,Haryana,Mewat,10 to 20 Post Monsoon (in mbgl)
2020-21,Madhya Pradesh,Neemuch,5 to 10 Post Monsoon (in mbgl)
2019-20,Karnataka,Tumkur,2 to 5 Post Monsoon (in mbgl)
2021-22,Rajasthan,Alwar,20 to 40 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Faizabad,2 to 5 Post Monsoon (in mbgl)
2021-22,West Bengal,Uttar Dinajpur,2 to 5 Post Monsoon (in mbgl)
2020-21,Karnataka,Haveri,2 to 5 Post Monsoon (in mbgl)
2020-21,Maharashtra,Nashik,0 to 2 Post Monsoon (in mbgl)
2019-20,Tamil Nadu,Tiruvarur,0 to 2 Post Monsoon (in mbgl)
2021-22,Punjab,Gurdaspur,10 to 20 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Amroha,10 to 20 Post Monsoon (in mbgl)
2019-20,Tamil Nadu,Namakkal,10 to 20 Post Monsoon (in mbgl)
2021-22,West Bengal,North 24 Parganas,2 to 5 Post Monsoon (in mbgl)
2020-21,Tamil Nadu,Krishnagiri,5 to 10 Post Monsoon (in mbgl)
2021-22,Assam,Goalpara,2 to 5 Post Monsoon (in mbgl)
2019-20,Maharashtra,Solapur,5 to 10 Post Monsoon (in mbgl)
2021-22,Karnataka,Tumkur,0 to 2 Post Monsoon (in mbgl)
2019-20,Maharashtra,Sangli,2 to 5 Post Monsoon (in mbgl)
2019-20,Delhi,South Delhi,>40 Post Monsoon (in mbgl)
2020-21,Madhya Pradesh,Dindori,2 to 5 Post Monsoon (in mbgl)
2019-20,Tamil Nadu,Nagapattinam,0 to 2 Post Monsoon (in mbgl)
2021-22,Odisha,Koraput,2 to 5 Post Monsoon (in mbgl)
2020-21,Jharkhand,Jamtara,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Cachar,0 to 2 Post Monsoon (in mbgl)
2021-22,Jammu and Kashmir,Srinagar,2 to 5 Post Monsoon (in mbgl)
2019-20,Maharashtra,Nashik,2 to 5 Post Monsoon (in mbgl)
2019-20,Rajasthan,Sikar,>40 Post Monsoon (in mbgl)
2020-21,Jammu and Kashmir,Doda,2 to 5 Post Monsoon (in mbgl)
2021-22,Rajasthan,Bikaner,10 to 20 Post Monsoon (in mbgl)
2021-22,Tamil Nadu,Pudukkottai,0 to 2 Post Monsoon (in mbgl)
2020-21,Tamil Nadu,Kancheepuram,2 to 5 Post Monsoon (in mbgl)
2021-22,Punjab,Nawanshahr/Sbs Nagar,20 to 40 Post Monsoon (in mbgl)
2019-20,Odisha,Khordha,2 to 5 Post Monsoon (in mbgl)
2020-21,Punjab,Tarn Taran,20 to 40 Post Monsoon (in mbgl)
2021-22,Jammu and Kashmir,Rajauri,0 to 2 Post Monsoon (in mbgl)
2020-21,Jharkhand,Giridih,2 to 5 Post Monsoon (in mbgl)
2019-20,Arunachal Pradesh,Tawang,0 to 2 Post Monsoon (in mbgl)
2019-20,Tamil Nadu,Vellore,5 to 10 Post Monsoon (in mbgl)
2020-21,Haryana,Bhiwani,2 to 5 Post Monsoon (in mbgl)
2019-20,Arunachal Pradesh,Tirap,5 to 10 Post Monsoon (in mbgl)
2019-20,Maharashtra,Chandrapur,2 to 5 Post Monsoon (in mbgl)
2021-22,Tamil Nadu,Namakkal,2 to 5 Post Monsoon (in mbgl)
2021-22,Madhya Pradesh,Anuppur,2 to 5 Post Monsoon (in mbgl)
2020-21,Arunachal Pradesh,Anjaw,2 to 5 Post Monsoon (in mbgl)
2020-21,Assam,Baksa,0 to 2 Post Monsoon (in mbgl)
2020-21,Haryana,Sirsa,10 to 20 Post Monsoon (in mbgl)
2021-22,Tamil Nadu,Tiruchirappalli,0 to 2 Post Monsoon (in mbgl)
2021-22,Ladakh,Leh,10 to 20 Post Monsoon (in mbgl)
2019-20,Goa,Pernem,2 to 5 Post Monsoon (in mbgl)
2020-21,Telangana,Jayashankar Bhupalpally,2 to 5 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Lalitpur,5 to 10 Post Monsoon (in mbgl)
2021-22,Uttar Pradesh,Kanpur Dehat,2 to 5 Post Monsoon (in mbgl)
2021-22,Madhya Pradesh,Umaria,5 to 10 Post Monsoon (in mbgl)
2019-20,Meghalaya,West Jaintia Hills,0 to 2 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Shamli,2 to 5 Post Monsoon (in mbgl)
2019-20,Andaman and Nicobar Islands,Long Island,0 to 2 Post Monsoon (in mbgl)
2021-22,Tamil Nadu,Tuticorin,0 to 2 Post Monsoon (in mbgl)
2020-21,Andaman and Nicobar Islands,South Andaman,0 to 2 Post Monsoon (in mbgl)
2020-21,Karnataka,Belgaum,0 to 2 Post Monsoon (in mbgl)
2019-20,Andaman and Nicobar Islands,Havelock Island,0 to 2 Post Monsoon (in mbgl)
2021-22,Tamil Nadu,Tiruvallur,0 to 2 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,East Kameng,0 to 2 Post Monsoon (in mbgl)
2020-21,Telangana,Narayanpet,10 to 20 Post Monsoon (in mbgl)
2019-20,Chhattisgarh,Narayanpur,2 to 5 Post Monsoon (in mbgl)
2020-21,Odisha,Dhenkanal,2 to 5 Post Monsoon (in mbgl)
2021-22,Tamil Nadu,Coimbatore,5 to 10 Post Monsoon (in mbgl)
2020-21,Jharkhand,Saraikela Kharsawan,5 to 10 Post Monsoon (in mbgl)
2019-20,Daman and Diu,Diu,5 to 10 Post Monsoon (in mbgl)
2021-22,Uttar Pradesh,Gonda,0 to 2 Post Monsoon (in mbgl)
2020-21,Odisha,Baleshwar,2 to 5 Post Monsoon (in mbgl)
2020-21,Chhattisgarh,Dantewada,2 to 5 Post Monsoon (in mbgl)
2019-20,Chhattisgarh,Bijapur,2 to 5 Post Monsoon (in mbgl)
2021-22,Kerala,Kozhikode,2 to 5 Post Monsoon (in mbgl)
2019-20,Tamil Nadu,Tiruvannamalai,2 to 5 Post Monsoon (in mbgl)
2021-22,Goa,Salcete,2 to 5 Post Monsoon (in mbgl)
2021-22,Rajasthan,Jalore,>40 Post Monsoon (in mbgl)
2019-20,Arunachal Pradesh,West Siang,5 to 10 Post Monsoon (in mbgl)
2021-22,Gujarat,Morbi,2 to 5 Post Monsoon (in mbgl)
2020-21,West Bengal,Bardhaman,2 to 5 Post Monsoon (in mbgl)
2019-20,Telangana,Wanaparthy,10 to 20 Post Monsoon (in mbgl)
2021-22,Bihar,Buxar,2 to 5 Post Monsoon (in mbgl)
2021-22,Rajasthan,Pratapgarh,2 to 5 Post Monsoon (in mbgl)
2021-22,Punjab,Amritsar,10 to 20 Post Monsoon (in mbgl)
2019-20,Chhattisgarh,Jashpur,2 to 5 Post Monsoon (in mbgl)
2021-22,Karnataka,Bidar,0 to 2 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Bareilly,5 to 10 Post Monsoon (in mbgl)
2019-20,Karnataka,Yadgir,5 to 10 Post Monsoon (in mbgl)
2019-20,Karnataka,Mysore,0 to 2 Post Monsoon (in mbgl)
2019-20,Bihar,Katihar,2 to 5 Post Monsoon (in mbgl)
2019-20,Odisha,Boudh,2 to 5 Post Monsoon (in mbgl)
2020-21,Punjab,Mansa,10 to 20 Post Monsoon (in mbgl)
2021-22,Telangana,Jangaon,2 to 5 Post Monsoon (in mbgl)
2020-21,Chhattisgarh,Baloda Bazar,2 to 5 Post Monsoon (in mbgl)
2020-21,Tamil Nadu,Ramanathapuram,2 to 5 Post Monsoon (in mbgl)
2019-20,Bihar,Madhubani,0 to 2 Post Monsoon (in mbgl)
2021-22,Maharashtra,Nanded,2 to 5 Post Monsoon (in mbgl)
2020-21,Gujarat,Devbhumi Dwarka,2 to 5 Post Monsoon (in mbgl)
2019-20,Andhra Pradesh,Srikakulam,0 to 2 Post Monsoon (in mbgl)
2019-20,Tamil Nadu,Tiruppur,5 to 10 Post Monsoon (in mbgl)
2019-20,Rajasthan,Dungarpur,5 to 10 Post Monsoon (in mbgl)
2020-21,Andhra Pradesh,West Godavari,10 to 20 Post Monsoon (in mbgl)
2020-21,Madhya Pradesh,Katni,5 to 10 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Sultanpur,2 to 5 Post Monsoon (in mbgl)
2019-20,Himachal Pradesh,Hamirpur,5 to 10 Post Monsoon (in mbgl)
2019-20,Telangana,Jagtial,2 to 5 Post Monsoon (in mbgl)
2020-21,Madhya Pradesh,Singrauli,2 to 5 Post Monsoon (in mbgl)
2019-20,Madhya Pradesh,Niwari,2 to 5 Post Monsoon (in mbgl)
2021-22,Odisha,Nabarangapur,2 to 5 Post Monsoon (in mbgl)
2020-21,Madhya Pradesh,Ashok Nagar,2 to 5 Post Monsoon (in mbgl)
2021-22,Madhya Pradesh,Rewa,5 to 10 Post Monsoon (in mbgl)
2021-22,Nagaland,Phek,20 to 40 Post Monsoon (in mbgl)
2021-22,Uttar Pradesh,Kushinagar,0 to 2 Post Monsoon (in mbgl)
2020-21,Arunachal Pradesh,Namasai,2 to 5 Post Monsoon (in mbgl)
2020-21,Telangana,Bhadradri Kothagudem,2 to 5 Post Monsoon (in mbgl)
2021-22,Odisha,Balangir,2 to 5 Post Monsoon (in mbgl)
2021-22,Odisha,Rayagada,2 to 5 Post Monsoon (in mbgl)
2019-20,Andhra Pradesh,Guntur,0 to 2 Post Monsoon (in mbgl)
2021-22,Uttar Pradesh,Bareilly,2 to 5 Post Monsoon (in mbgl)
2019-20,Karnataka,Ramanagara,2 to 5 Post Monsoon (in mbgl)
2021-22,Uttarakhand,Champawat,5 to 10 Post Monsoon (in mbgl)
2019-20,Gujarat,Panchmahal,2 to 5 Post Monsoon (in mbgl)
2019-20,Kerala,Kozhikode,2 to 5 Post Monsoon (in mbgl)
2019-20,Maharashtra,Latur,10 to 20 Post Monsoon (in mbgl)
2019-20,Nagaland,Kohima,0 to 2 Post Monsoon (in mbgl)
2020-21,Assam,Karbi Anglong,2 to 5 Post Monsoon (in mbgl)
2020-21,Bihar,Sheikhpura,2 to 5 Post Monsoon (in mbgl)
2020-21,Rajasthan,Baran,2 to 5 Post Monsoon (in mbgl)
2020-21,Assam,Jorhat,0 to 2 Post Monsoon (in mbgl)
2019-20,Tripura,Sipahijala,2 to 5 Post Monsoon (in mbgl)
2020-21,Tamil Nadu,Erode,2 to 5 Post Monsoon (in mbgl)
2021-22,Punjab,Barnala,20 to 40 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Sonbhadra,2 to 5 Post Monsoon (in mbgl)
2020-21,Rajasthan,Bhilwara,2 to 5 Post Monsoon (in mbgl)
2021-22,Rajasthan,Ajmer,10 to 20 Post Monsoon (in mbgl)
2021-22,Uttar Pradesh,Fatehpur,10 to 20 Post Monsoon (in mbgl)
2019-20,Assam,Golaghat,2 to 5 Post Monsoon (in mbgl)
2021-22,Delhi,West Delhi,5 to 10 Post Monsoon (in mbgl)
2021-22,Maharashtra,Palghar,2 to 5 Post Monsoon (in mbgl)
2021-22,Haryana,Kurukshetra,20 to 40 Post Monsoon (in mbgl)
2020-21,Maharashtra,Beed,0 to 2 Post Monsoon (in mbgl)
2021-22,Maharashtra,Latur,2 to 5 Post Monsoon (in mbgl)
2019-20,Gujarat,Dohad,2 to 5 Post Monsoon (in mbgl)
2020-21,Jharkhand,Lohardaga,2 to 5 Post Monsoon (in mbgl)
2021-22,Punjab,Moga,20 to 40 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Meerut,10 to 20 Post Monsoon (in mbgl)
2020-21,Madhya Pradesh,Mandla,2 to 5 Post Monsoon (in mbgl)
2021-22,Uttar Pradesh,Farrukhabad,10 to 20 Post Monsoon (in mbgl)
2021-22,Madhya Pradesh,Sagar,5 to 10 Post Monsoon (in mbgl)
2021-22,Telangana,Medchal-Malkajgiri,2 to 5 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Aligarh,5 to 10 Post Monsoon (in mbgl)
2021-22,Uttar Pradesh,Mahoba,5 to 10 Post Monsoon (in mbgl)
2021-22,West Bengal,Howrah,0 to 2 Post Monsoon (in mbgl)
2021-22,Odisha,Bhadrak,0 to 2 Post Monsoon (in mbgl)
2021-22,Karnataka,Shimoga,2 to 5 Post Monsoon (in mbgl)
2021-22,Maharashtra,Nashik,0 to 2 Post Monsoon (in mbgl)
2021-22,Punjab,Sas Nagar/Mohali,>40 Post Monsoon (in mbgl)
2019-20,West Bengal,Nadia,2 to 5 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Mahoba,5 to 10 Post Monsoon (in mbgl)
2020-21,Chhattisgarh,Surajpur,2 to 5 Post Monsoon (in mbgl)
2020-21,Madhya Pradesh,Indore,2 to 5 Post Monsoon (in mbgl)
2019-20,Himachal Pradesh,Una,2 to 5 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Firozabad,5 to 10 Post Monsoon (in mbgl)
2021-22,Gujarat,Surat,2 to 5 Post Monsoon (in mbgl)
2021-22,Punjab,Tarn Taran,10 to 20 Post Monsoon (in mbgl)
2019-20,Odisha,Mayurbhanj,2 to 5 Post Monsoon (in mbgl)
2020-21,Rajasthan,Kota,5 to 10 Post Monsoon (in mbgl)
2020-21,Bihar,Supaul,2 to 5 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Ghazipur,5 to 10 Post Monsoon (in mbgl)
2021-22,Tamil Nadu,Viluppuram,0 to 2 Post Monsoon (in mbgl)
2019-20,Rajasthan,Jaisalmer,20 to 40 Post Monsoon (in mbgl)
2021-22,Kerala,Alappuzha,0 to 2 Post Monsoon (in mbgl)
2021-22,Goa,Quepem,2 to 5 Post Monsoon (in mbgl)
2021-22,Nagaland,Dimapur,2 to 5 Post Monsoon (in mbgl)
2021-22,Odisha,Boudh,2 to 5 Post Monsoon (in mbgl)
2021-22,Maharashtra,Beed,0 to 2 Post Monsoon (in mbgl)
2020-21,Tamil Nadu,Chennai,2 to 5 Post Monsoon (in mbgl)
2019-20,Odisha,Angul,2 to 5 Post Monsoon (in mbgl)
2020-21,Assam,Karimganj,0 to 2 Post Monsoon (in mbgl)
2021-22,Assam,Chirang,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Sonitpur,0 to 2 Post Monsoon (in mbgl)
2021-22,Karnataka,Chikmagalur,2 to 5 Post Monsoon (in mbgl)
2019-20,Goa,North Goa,2 to 5 Post Monsoon (in mbgl)
2020-21,Gujarat,Panchmahal,2 to 5 Post Monsoon (in mbgl)
2019-20,Chhattisgarh,Kanker (North Bastar),2 to 5 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Auraiya,10 to 20 Post Monsoon (in mbgl)
2019-20,West Bengal,Bankura,2 to 5 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Fatehpur,10 to 20 Post Monsoon (in mbgl)
2019-20,Karnataka,Bangalore Rural,2 to 5 Post Monsoon (in mbgl)
2020-21,Tamil Nadu,Pudukkottai,2 to 5 Post Monsoon (in mbgl)
2020-21,Madhya Pradesh,Morena,5 to 10 Post Monsoon (in mbgl)
2021-22,Haryana,Karnal,20 to 40 Post Monsoon (in mbgl)
2021-22,Karnataka,Davangere,0 to 2 Post Monsoon (in mbgl)
2019-20,Punjab,Gurdaspur,5 to 10 Post Monsoon (in mbgl)
2019-20,Kerala,Kannur,5 to 10 Post Monsoon (in mbgl)
2019-20,Madhya Pradesh,Dhar,5 to 10 Post Monsoon (in mbgl)
2020-21,Jammu and Kashmir,Ramban,0 to 2 Post Monsoon (in mbgl)
2021-22,Maharashtra,Buldana,0 to 2 Post Monsoon (in mbgl)
2019-20,Odisha,Puri,2 to 5 Post Monsoon (in mbgl)
2019-20,Himachal Pradesh,Chamba,N.A. Post Monsoon (in mbgl)
2020-21,Bihar,Buxar,2 to 5 Post Monsoon (in mbgl)
2020-21,Chhattisgarh,Durg,2 to 5 Post Monsoon (in mbgl)
2020-21,Tamil Nadu,Tiruchirappalli,5 to 10 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Firozabad,10 to 20 Post Monsoon (in mbgl)
2020-21,Chhattisgarh,Korba,2 to 5 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Deoria,2 to 5 Post Monsoon (in mbgl)
2020-21,Telangana,Suryapet,5 to 10 Post Monsoon (in mbgl)
2020-21,Rajasthan,Banswara,2 to 5 Post Monsoon (in mbgl)
2020-21,Maharashtra,Wardha,0 to 2 Post Monsoon (in mbgl)
2019-20,Madhya Pradesh,Shajapur,5 to 10 Post Monsoon (in mbgl)
2019-20,Odisha,Kendrapara,0 to 2 Post Monsoon (in mbgl)
2019-20,Rajasthan,Hanumangarh,20 to 40 Post Monsoon (in mbgl)
2020-21,Chhattisgarh,Bastar,2 to 5 Post Monsoon (in mbgl)
2019-20,Chhattisgarh,Durg,2 to 5 Post Monsoon (in mbgl)
2019-20,Maharashtra,Ratnagiri,2 to 5 Post Monsoon (in mbgl)
2020-21,Haryana,Kurukshetra,>40 Post Monsoon (in mbgl)
2020-21,Kerala,Kozhikode,2 to 5 Post Monsoon (in mbgl)
2020-21,Telangana,Warangal Rural,2 to 5 Post Monsoon (in mbgl)
2020-21,Punjab,Sas Nagar/Mohali,10 to 20 Post Monsoon (in mbgl)
2021-22,Haryana,Yamuna Nagar,20 to 40 Post Monsoon (in mbgl)
2021-22,Madhya Pradesh,Hoshangabad,5 to 10 Post Monsoon (in mbgl)
2020-21,Telangana,Peddapalli,2 to 5 Post Monsoon (in mbgl)
2021-22,Punjab,Ludhiana,20 to 40 Post Monsoon (in mbgl)
2021-22,Uttar Pradesh,Ambedkar Nagar,0 to 2 Post Monsoon (in mbgl)
2021-22,Maharashtra,Mumbai City,0 to 2 Post Monsoon (in mbgl)
2019-20,Punjab,Moga,20 to 40 Post Monsoon (in mbgl)
2021-22,Goa,Bardez,2 to 5 Post Monsoon (in mbgl)
2019-20,Assam,Kamrup (Metro),0 to 2 Post Monsoon (in mbgl)
2019-20,Assam,Nagaon,2 to 5 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Jhansi,5 to 10 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Pratapgarh,5 to 10 Post Monsoon (in mbgl)
2019-20,Gujarat,Junagadh,5 to 10 Post Monsoon (in mbgl)
2019-20,Jharkhand,Latehar,2 to 5 Post Monsoon (in mbgl)
2021-22,Uttar Pradesh,Lucknow,10 to 20 Post Monsoon (in mbgl)
2021-22,Odisha,Gajapati,0 to 2 Post Monsoon (in mbgl)
2020-21,Bihar,Madhepura,2 to 5 Post Monsoon (in mbgl)
2020-21,Maharashtra,Buldana,0 to 2 Post Monsoon (in mbgl)
2019-20,Madhya Pradesh,Sheopur,2 to 5 Post Monsoon (in mbgl)
2020-21,Rajasthan,Tonk,2 to 5 Post Monsoon (in mbgl)
2021-22,Gujarat,Valsad,2 to 5 Post Monsoon (in mbgl)
2020-21,Kerala,Thrissur,5 to 10 Post Monsoon (in mbgl)
2019-20,Telangana,Mancherial,2 to 5 Post Monsoon (in mbgl)
2019-20,Telangana,Khammam,0 to 2 Post Monsoon (in mbgl)
2020-21,Punjab,Faridkot,2 to 5 Post Monsoon (in mbgl)
2019-20,Bihar,Siwan,2 to 5 Post Monsoon (in mbgl)
2020-21,Chhattisgarh,Gariyaband,2 to 5 Post Monsoon (in mbgl)
2019-20,Delhi,West Delhi,5 to 10 Post Monsoon (in mbgl)
2021-22,Tamil Nadu,Salem,2 to 5 Post Monsoon (in mbgl)
2019-20,Uttarakhand,Tehri Garhwal,10 to 20 Post Monsoon (in mbgl)
2020-21,Karnataka,Tumkur,0 to 2 Post Monsoon (in mbgl)
2019-20,Tripura,Dhalai,2 to 5 Post Monsoon (in mbgl)
2021-22,Arunachal Pradesh,West Kameng,0 to 2 Post Monsoon (in mbgl)
2020-21,Bihar,Khagaria,2 to 5 Post Monsoon (in mbgl)
2021-22,Maharashtra,Bhandara,2 to 5 Post Monsoon (in mbgl)
2019-20,Kerala,Thiruvananthapuram,5 to 10 Post Monsoon (in mbgl)
2021-22,Karnataka,Uttara Kannada,2 to 5 Post Monsoon (in mbgl)
2020-21,West Bengal,Howrah,0 to 2 Post Monsoon (in mbgl)
2019-20,Assam,Nalbari,2 to 5 Post Monsoon (in mbgl)
2021-22,Gujarat,Panchmahal,5 to 10 Post Monsoon (in mbgl)
2021-22,Uttar Pradesh,Faizabad,2 to 5 Post Monsoon (in mbgl)
2020-21,Karnataka,Chamarajanagar,2 to 5 Post Monsoon (in mbgl)
2020-21,West Bengal,Jalpaiguri,2 to 5 Post Monsoon (in mbgl)
2021-22,Assam,Jorhat,0 to 2 Post Monsoon (in mbgl)
2021-22,Maharashtra,Washim,2 to 5 Post Monsoon (in mbgl)
2019-20,Delhi,Shahdara,5 to 10 Post Monsoon (in mbgl)
2021-22,Nagaland,Tuensang,20 to 40 Post Monsoon (in mbgl)
2021-22,Uttar Pradesh,Jaunpur,0 to 2 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Maharajganj,2 to 5 Post Monsoon (in mbgl)
2020-21,Rajasthan,Jodhpur,>40 Post Monsoon (in mbgl)
2021-22,Maharashtra,Sangli,2 to 5 Post Monsoon (in mbgl)
2020-21,Assam,Udalguri,2 to 5 Post Monsoon (in mbgl)
2019-20,Gujarat,Devbhumi Dwarka,5 to 10 Post Monsoon (in mbgl)
2019-20,Telangana,Jogulamba Gadwal,10 to 20 Post Monsoon (in mbgl)
2020-21,Maharashtra,Yavatmal,2 to 5 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Allahabad,2 to 5 Post Monsoon (in mbgl)
2020-21,Madhya Pradesh,Seoni,0 to 2 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Mirzapur,2 to 5 Post Monsoon (in mbgl)
2020-21,Kerala,Idukki,2 to 5 Post Monsoon (in mbgl)
2019-20,Assam,Sonitpur,2 to 5 Post Monsoon (in mbgl)
2020-21,Chhattisgarh,Surguja,2 to 5 Post Monsoon (in mbgl)
2019-20,Gujarat,Valsad,0 to 2 Post Monsoon (in mbgl)
2020-21,Himachal Pradesh,Kangra,2 to 5 Post Monsoon (in mbgl)
2019-20,Uttar Pradesh,Lalitpur,5 to 10 Post Monsoon (in mbgl)
2020-21,Jammu and Kashmir,Bandipora,2 to 5 Post Monsoon (in mbgl)
2021-22,Bihar,Bhojpur,2 to 5 Post Monsoon (in mbgl)
2019-20,Odisha,Jharsuguda,2 to 5 Post Monsoon (in mbgl)
2020-21,Assam,Darrang,2 to 5 Post Monsoon (in mbgl)
2020-21,Maharashtra,Thane,0 to 2 Post Monsoon (in mbgl)
2020-21,West Bengal,Hooghly,10 to 20 Post Monsoon (in mbgl)
2021-22,Karnataka,Chikballapura,2 to 5 Post Monsoon (in mbgl)
2021-22,Jharkhand,Godda,2 to 5 Post Monsoon (in mbgl)
2021-22,Tripura,Khowai,2 to 5 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Jaunpur,2 to 5 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Faizabad,2 to 5 Post Monsoon (in mbgl)
2021-22,Goa,Bicholim,5 to 10 Post Monsoon (in mbgl)
2021-22,Assam,Karimganj,0 to 2 Post Monsoon (in mbgl)
2019-20,Himachal Pradesh,Shimla,N.A. Post Monsoon (in mbgl)
2019-20,Assam,Goalpara,2 to 5 Post Monsoon (in mbgl)
2019-20,Gujarat,Navsari,0 to 2 Post Monsoon (in mbgl)
2021-22,Nagaland,Longleng,20 to 40 Post Monsoon (in mbgl)
2019-20,Goa,Mormugao,2 to 5 Post Monsoon (in mbgl)
2020-21,Jharkhand,Simdega,5 to 10 Post Monsoon (in mbgl)
2020-21,Rajasthan,Dhaulpur,10 to 20 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Etah,5 to 10 Post Monsoon (in mbgl)
2021-22,West Bengal,Nadia,2 to 5 Post Monsoon (in mbgl)
2019-20,Haryana,Karnal,20 to 40 Post Monsoon (in mbgl)
2021-22,Rajasthan,Sikar,>40 Post Monsoon (in mbgl)
2019-20,Arunachal Pradesh,East Siang,5 to 10 Post Monsoon (in mbgl)
2019-20,Haryana,Panchkula,10 to 20 Post Monsoon (in mbgl)
2021-22,Uttar Pradesh,Muzaffarnagar,10 to 20 Post Monsoon (in mbgl)
2019-20,Haryana,Yamuna Nagar,10 to 20 Post Monsoon (in mbgl)
2021-22,Gujarat,Chhota Udaipur,2 to 5 Post Monsoon (in mbgl)
2019-20,Goa,Canacona,10 to 20 Post Monsoon (in mbgl)
2020-21,Uttar Pradesh,Jhansi,5 to 10 Post Monsoon (in mbgl)
2021-22,Jharkhand,Palamu,2 to 5 Post Monsoon (in mbgl)
2020-21,Telangana,Medchal-Malkajgiri,10 to 20 Post Monsoon (in mbgl)
